CATEGORY,BRAND,MODEL,MRP,TOTAL TENURE,ADVANCE EMI,DBD,PF,ROI,FIXED EMI,MIN L,MAX L,EXPIRY,,,,,,,,,,,,,
LAPTOP,ACER,UND59SI002 80339,80339,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UND59SI002 80339,80339,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UND59SI004 90639,90639,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UND59SI004 90639,90639,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UND59SI005 77249,77249,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UND5ASI002 97849,97849,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UND5ASI002 97849,97849,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UND5ASI007 92699,92699,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UND5ASI007 92699,92699,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDL9SI002 108149,108149,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDL9SI002 108149,108149,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDL9SI00A 111239,111239,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDL9SI00A 111239,111239,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDW0SI001 108148.97,108148.97,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDW0SI001 108148.97,108148.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDW0SI002 113298.97,113298.97,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDW0SI002 113298.97,113298.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDW0SI002 113298.97,113298.97,18,6,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDW0SI003 111238.97,111238.97,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDW0SI003 111238.97,111238.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNDW0SI003 111238.97,111238.97,18,6,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNJF5SI002 82399,82399,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNJF5SI002 82399,82399,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNJF5SI004 72099,72099,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNJLNSI002 92698.97,92698.97,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNJLNSI002 92698.97,92698.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQN8SI00A 100939,100939,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQN8SI00A 100939,100939,10,2,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQN8SI00A 100939,100939,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQN8SI00A 100939,100939,18,6,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQN8SI010 88569.7,88569.7,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQN8SI010 88569.7,88569.7,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQNPSI007 118449,118449,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQNPSI007 118449,118449,10,2,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQNPSI007 118449,118449,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQNPSI007 118449,118449,18,6,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQPESI002 86519,86519,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQPESI002 86519,86519,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQPFSI007 76219,76219,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQPFSI00E 84459,84459,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQPFSI00E 84459,84459,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UNQPFSI00H 84459,84459,15,5,1.5,599,,,,,,,,,,,,,,,,,,
